Date,Open,High,Low,Close
1-January-2003,3383.85,3396.80,3381.07,3390.12,
2-January-2003,3399.72,3407.24,3363.11,3365.06,
3-January-2003,3380.44,3386.97,3351.89,3357.54,
6-January-2003,3364.72,3364.72,3330.02,3334.89,
7-January-2003,3350.18,3352.43,3320.42,3330.50,
8-January-2003,3339.89,3362.12,3338.94,3357.87,
9-January-2003,3367.34,3388.19,3366.28,3384.20,
10-January-2003,3416.92,3416.92,3342.12,3358.99,
13-January-2003,3355.07,3356.93,3324.25,3327.16,
14-January-2003,3334.94,3341.55,3321.49,3335.35,
15-January-2003,3333.20,3359.98,3333.20,3357.69,
16-January-2003,3358.47,3377.27,3352.55,3373.52,
17-January-2003,3377.94,3382.53,3366.24,3370.39,
20-January-2003,3364.53,3368.08,3338.09,3341.89,
21-January-2003,3348.32,3356.82,3336.95,3354.14,
22-January-2003,3364.11,3367.23,3345.62,3357.04,
23-January-2003,3351.75,3360.37,3324.49,3328.18,
24-January-2003,3332.02,3340.68,3281.93,3287.86,
27-January-2003,3283.93,3286.46,3221.69,3247.71,
28-January-2003,3247.09,3269.13,3209.51,3267.84,
29-January-2003,3273.78,3275.92,3225.74,3238.02,
30-January-2003,3246.54,3256.48,3217.37,3219.88,
31-January-2003,3216.16,3257.48,3199.18,3250.38,
3-February-2003,3260.04,3283.48,3250.52,3279.83,
4-February-2003,3283.59,3295.25,3271.75,3278.13,
5-February-2003,3268.61,3277.09,3239.02,3256.08,
6-February-2003,3253.14,3311.18,3253.14,3305.44,
7-February-2003,3309.46,3309.96,3277.33,3279.77,
10-February-2003,3281.37,3281.42,3252.49,3256.86,
11-February-2003,3269.85,3278.79,3249.63,3261.47,
12-February-2003,3266.26,3268.39,3236.33,3247.51,
14-February-2003,3250.65,3254.04,3218.37,3223.41,
17-February-2003,3248.90,3287.01,3248.90,3282.45,
18-February-2003,3284.04,3301.92,3284.04,3289.09,
19-February-2003,3303.09,3317.80,3300.85,3302.04,
20-February-2003,3301.81,3307.87,3284.58,3303.22,
21-February-2003,3303.33,3313.60,3294.68,3307.20,
24-February-2003,3318.25,3341.61,3318.25,3322.17,
25-February-2003,3316.91,3316.91,3279.00,3281.92,
26-February-2003,3291.07,3292.69,3259.00,3260.48,
27-February-2003,3254.84,3283.29,3251.40,3277.34,
28-February-2003,3294.60,3316.74,3269.80,3283.66,
3-March-2003,3301.67,3311.57,3274.64,3277.27,
4-March-2003,3271.06,3272.19,3240.16,3244.80,
5-March-2003,3233.43,3235.85,3190.06,3226.10,
6-March-2003,3252.28,3252.28,3186.43,3190.35,
7-March-2003,3182.16,3182.16,3142.89,3153.06,
10-March-2003,3152.90,3162.27,3115.32,3125.88,
11-March-2003,3117.49,3159.48,3100.14,3154.91,
12-March-2003,3151.60,3158.98,3106.85,3110.08,
13-March-2003,3113.35,3127.30,3086.43,3108.24,
17-March-2003,3115.14,3115.14,3049.05,3084.91,
19-March-2003,3103.87,3128.83,3103.87,3121.18,
20-March-2003,3118.80,3197.66,3118.32,3192.93,
21-March-2003,3195.66,3209.46,3179.79,3200.15,
22-March-2003,3208.58,3225.26,3208.58,3218.73,
24-March-2003,3216.07,3216.07,3137.56,3140.36,
25-March-2003,3122.70,3143.02,3102.65,3140.42,
26-March-2003,3148.07,3165.38,3139.65,3143.58,
27-March-2003,3138.89,3146.29,3115.06,3116.79,
28-March-2003,3115.37,3130.33,3099.00,3115.44,
31-March-2003,3106.93,3106.93,3039.83,3048.72,
1-April-2003,3037.54,3089.60,3037.54,3080.95,
2-April-2003,3083.94,3120.31,3079.62,3116.99,
3-April-2003,3130.84,3155.12,3119.80,3151.16,
4-April-2003,3145.00,3169.20,3130.80,3167.70,
7-April-2003,3181.94,3221.90,3180.87,3215.24,
8-April-2003,3205.92,3209.42,3172.68,3174.86,
9-April-2003,3160.74,3164.60,3126.83,3141.25,
10-April-2003,3137.24,3137.24,3021.74,3035.33,
11-April-2003,3030.46,3048.07,2962.97,2997.87,
15-April-2003,3010.96,3018.66,2948.67,2997.38,
16-April-2003,3005.35,3037.30,3000.72,3032.32,
17-April-2003,3002.68,3011.92,2971.94,2984.50,
21-April-2003,2992.90,3002.11,2985.60,2996.97,
22-April-2003,2994.50,2998.13,2971.69,2985.54,
23-April-2003,2997.34,3009.01,2943.45,2947.33,
24-April-2003,2951.09,2973.03,2932.34,2937.23,
25-April-2003,2935.08,2937.59,2908.29,2924.03,
28-April-2003,2909.42,2942.45,2904.44,2936.71,
29-April-2003,2949.04,2961.47,2944.13,2950.14,
30-April-2003,2942.42,2962.40,2942.42,2959.79,
2-May-2003,2949.04,2968.96,2939.16,2966.63,
5-May-2003,2977.47,2988.69,2967.88,2975.47,
